,asin,url,category,rank,title,price,review_count,rating
10,B0BWWZXWPL,https://www.amazon.com/dp/B0BWWZXWPL,Amazon Devices & Accessories,#11,"Blink Mini 2 — Home Security & Pet Camera with HD video, color night view, motion detection, two-way audio, and built-in spotlight — 1 camera (White)",N/A,"15,582",4.5 out of 5 stars
11,B0B6GLQJMV,https://www.amazon.com/dp/B0B6GLQJMV,Amazon Devices & Accessories,#12,"Ring Indoor Cam — Home or business security in 1080p HD video, White",N/A,"33,703",4.7 out of 5 stars
12,B0BFC7WQ6R,https://www.amazon.com/dp/B0BFC7WQ6R,Amazon Devices & Accessories,#13,"Amazon Echo Spot, Great for nightstands, offices and kitchens, Smart alarm clock with Alexa, Black",N/A,"32,841",4.6 out of 5 stars
13,B0BHZT5S12,https://www.amazon.com/dp/B0BHZT5S12,Amazon Devices & Accessories,#14,"Amazon Fire HD 10 tablet, built for relaxation, 10.1"" vibrant Full HD screen, octa-core processor, 3 GB RAM, 32 GB, Black",N/A,"33,501",4.5 out of 5 stars
14,B0CNVCQZG1,https://www.amazon.com/dp/B0CNVCQZG1,Amazon Devices & Accessories,#15,"Amazon Kindle 16 GB (newest model) - Lightest and most compact Kindle, now with faster page turns, and higher contrast ratio, for an enhanced reading experience - Matcha",N/A,"9,910",4.6 out of 5 stars
15,B09B2SBHQK,https://www.amazon.com/dp/B09B2SBHQK,Amazon Devices & Accessories,#16,"Amazon Echo Show 5, Smart display with 2x the bass and clearer sound, Charcoal",N/A,"55,419",4.4 out of 5 stars
16,B0F1DGM1TM,https://www.amazon.com/dp/B0F1DGM1TM,Amazon Devices & Accessories,#17,N/A,N/A,"3,138",4.2 out of 5 stars
17,B0D241GHP5,https://www.amazon.com/dp/B0D241GHP5,Amazon Devices & Accessories,#18,"Introducing Ring Outdoor Cam Plus, Battery — Wide-Angle 2K Video with Ring Vision, Low-Light Sight for full-color night vision, Mount-Anywhere Versatility, White",N/A,"3,058",4.5 out of 5 stars
18,B09L45VFCN,https://www.amazon.com/dp/B09L45VFCN,Amazon Devices & Accessories,#19,Ring Chime,N/A,"47,372",4.6 out of 5 stars
19,B08F6GPQQ7,https://www.amazon.com/dp/B08F6GPQQ7,Amazon Devices & Accessories,#20,"Ring Floodlight Cam Wired Plus — Outdoor home or business security with motion-activated 1080p HD video and floodlights, (2021 release) White",N/A,"40,067",4.7 out of 5 stars
20,B076JKHDQT,https://www.amazon.com/dp/B076JKHDQT,Amazon Devices & Accessories,#21,Ring Rechargeable Quick Release Battery Pack,N/A,"124,349",4.7 out of 5 stars
21,B0BLS3Y632,https://www.amazon.com/dp/B0BLS3Y632,Amazon Devices & Accessories,#22,"Amazon Echo Show 8, With Spatial Audio, Smart Home Hub, ideal for open living spaces, includes Alexa, Charcoal",N/A,"26,263",4.5 out of 5 stars
22,B089DR29T6,https://www.amazon.com/dp/B089DR29T6,Amazon Devices & Accessories,#23,"Amazon Smart Plug | Works with Alexa | Simple setup, endless possibilities",N/A,"570,506",4.7 out of 5 stars
23,B09JZ5BG26,https://www.amazon.com/dp/B09JZ5BG26,Amazon Devices & Accessories,#24,"Ring Spotlight Cam Plus, Battery | Home or business security with HD video, Two-Way Talk, Color Night Vision, and Security Siren (2022 release) - White",N/A,"20,454",4.5 out of 5 stars
24,B0C8RR4WN3,https://www.amazon.com/dp/B0C8RR4WN3,Amazon Devices & Accessories,#25,"Amazon Kindle Paperwhite Signature Edition 32GB – Our fastest Kindle with auto-adjusting front light, wireless charging, and weeks of battery life – Metallic Black",N/A,"7,291",4.6 out of 5 stars
25,B0B1N6CR7X,https://www.amazon.com/dp/B0B1N6CR7X,Amazon Devices & Accessories,#26,"Like-New Blink Outdoor 4 – Wireless smart security camera, two-year battery, 1080p HD day and infrared night live view, two-way talk – 2 camera system",N/A,"1,613",4.4 out of 5 stars
26,B0BL8WSCH3,https://www.amazon.com/dp/B0BL8WSCH3,Amazon Devices & Accessories,#27,"Amazon Fire 7 Kids tablet (newest model) ages 3-7. Top-selling 7"" kids tablet on Amazon. Includes ad-free and exclusive content, easy parental controls, 10-hr battery, 16 GB, Purple",N/A,"28,608",4.4 out of 5 stars
27,B0F7RXTN1Y,https://www.amazon.com/dp/B0F7RXTN1Y,Amazon Devices & Accessories,#28,"INSIGNIA 40"" Class F40 Series LED Full HD Smart Fire TV with Alexa Voice Remote (NS-40F401NA26)",N/A,882,4.4 out of 5 stars
28,B0CM7X424T,https://www.amazon.com/dp/B0CM7X424T,Amazon Devices & Accessories,#29,"Amazon Kindle Paperwhite and Kindle Colorsoft Case, Lightweight and Water-Safe, Foldable Protective Cover - Fabric",N/A,"7,259",4.7 out of 5 stars
29,B07X27VK3D,https://www.amazon.com/dp/B07X27VK3D,Amazon Devices & Accessories,#30,"Blink Mini - Compact indoor plug-in smart security camera, 1080p HD video, night vision, motion detection, two-way audio, easy set up, Works with Alexa – 2 cameras (White)",N/A,"304,665",4.4 out of 5 stars
30,B08PP5MSVB,https://www.amazon.com/dp/B08PP5MSVB,Amazon Renewed,#1,"Apple iPhone 12, 64GB, Black - Fully Unlocked (Renewed)",N/A,"31,856",4.1 out of 5 stars
31,B08264XHCZ,https://www.amazon.com/dp/B08264XHCZ,Amazon Renewed,#2,"Apple iPad, 10.2-Inch, Wi-Fi, 32GB, Space Gray (Renewed)",N/A,"14,484",4.2 out of 5 stars
32,B07SKLLYTW,https://www.amazon.com/dp/B07SKLLYTW,Amazon Renewed,#3,Apple AirPods 2 with Charging Case - White (Renewed),$80.00,"17,180",4.1 out of 5 stars
33,B09LNW3CY2,https://www.amazon.com/dp/B09LNW3CY2,Amazon Renewed,#4,"Apple iPhone 13, 128GB, Midnight - Unlocked (Renewed)",N/A,"19,000",4.0 out of 5 stars
34,B07ZPKN6YR,https://www.amazon.com/dp/B07ZPKN6YR,Amazon Renewed,#5,"Apple iPhone 11, 64GB, Black - Unlocked (Renewed)",N/A,"56,653",4.2 out of 5 stars
35,B0BN72FYFG,https://www.amazon.com/dp/B0BN72FYFG,Amazon Renewed,#6,"Apple iPhone 14, 128GB, Midnight - Unlocked (Renewed)",N/A,"4,446",4.0 out of 5 stars
36,B09HK12K5M,https://www.amazon.com/dp/B09HK12K5M,Amazon Renewed,#7,"Apple iPad 2021 (10.2-inch, Wi-Fi, 64GB) - Space Gray (Renewed)",N/A,"3,671",4.4 out of 5 stars
37,B0DB2YD3LD,https://www.amazon.com/dp/B0DB2YD3LD,Amazon Renewed,#8,"Beats Solo 4 - Wireless Bluetooth On-Ear Headphones, Apple & Android Compatible, Up to 50 Hours of Battery Life - Matte Black (Renewed Premium)",N/A,450,4.7 out of 5 stars
38,B08PNN2SKF,https://www.amazon.com/dp/B08PNN2SKF,Amazon Renewed,#9,"Apple iPhone 12 Mini, 64GB, Blue - Unlocked (Renewed)",N/A,"15,856",4.0 out of 5 stars
39,B08KWJW3DV,https://www.amazon.com/dp/B08KWJW3DV,Amazon Renewed,#10,"Apple iPad 2020 (10.2-inch, Wi-Fi, 32GB) - Space Gray (Renewed)",N/A,"2,801",4.4 out of 5 stars
40,B0B844T634,https://www.amazon.com/dp/B0B844T634,Amazon Renewed,#11,Apple AirPods Pro Wireless Earbuds with MagSafe Charging Case (Renewed),N/A,"3,470",3.8 out of 5 stars
41,B09NWG459J,https://www.amazon.com/dp/B09NWG459J,Amazon Renewed,#12,"Apple Watch Series 7 (GPS, 41mm) Starlight Aluminum Case with Starlight Sport Band, Regular (Renewed)",N/A,"9,644",4.0 out of 5 stars
42,B0BN92S2ZZ,https://www.amazon.com/dp/B0BN92S2ZZ,Amazon Renewed,#13,"Apple iPhone 14 Pro Max, 256GB, Deep Purple - Unlocked (Renewed)",$507.40,"3,911",4.0 out of 5 stars
43,B0BN9426PP,https://www.amazon.com/dp/B0BN9426PP,Amazon Renewed,#14,"Apple iPhone 14 Plus, 128GB, Midnight - Unlocked (Renewed)",N/A,"3,111",4.1 out of 5 stars
44,B083M8DP6X,https://www.amazon.com/dp/B083M8DP6X,Amazon Renewed,#15,"Apple Watch Series 5 (GPS, 44MM) - Space Gray Aluminum Case with Black Sport Band (Renewed)",$115.00,"29,650",4.1 out of 5 stars
45,B09LKXHWCF,https://www.amazon.com/dp/B09LKXHWCF,Amazon Renewed,#16,"Apple iPhone 13 Mini, 128GB, Blue - Unlocked (Renewed)",N/A,"6,571",3.9 out of 5 stars
46,B07H6QCGGZ,https://www.amazon.com/dp/B07H6QCGGZ,Amazon Renewed,#17,Apple Airpods In-Ear Bluetooth Wireless Headset (Renewed),N/A,"1,679",3.8 out of 5 stars
47,B08L1VD7K9,https://www.amazon.com/dp/B08L1VD7K9,Amazon Renewed,#18,"Apple iPad (10.2-inch, Wi-Fi, 128GB, 8th Generation)- Space Gray (Renewed)",N/A,"4,114",4.4 out of 5 stars
48,B09VD33WHW,https://www.amazon.com/dp/B09VD33WHW,Amazon Renewed,#19,"SAMSUNG Galaxy S22 Ultra 5G, US Version, 128GB, Black - Unlocked (Renewed)",$284.95,"6,154",3.7 out of 5 stars
49,B092LJJYDQ,https://www.amazon.com/dp/B092LJJYDQ,Amazon Renewed,#20,N/A,$58.99,Amazon Renewed,3.9 out of 5 stars
50,B08VLMQ3KS,https://www.amazon.com/dp/B08VLMQ3KS,Amazon Renewed,#21,"Samsung Galaxy S21 5G, US Version, 128GB, Phantom Gray - Unlocked (Renewed)",N/A,"17,197",3.9 out of 5 stars
51,B09X5DL9S5,https://www.amazon.com/dp/B09X5DL9S5,Amazon Renewed,#22,Roku Streaming Stick 4K - HDR & D. Vision Roku Streaming Device for TV with Voice Remote & Long-Range Wi-Fi - Free & Live TV (Renewed),$38.99,"5,329",4.5 out of 5 stars
52,B0DNLDKY3S,https://www.amazon.com/dp/B0DNLDKY3S,Amazon Renewed,#23,"Dell Latitude 3190 11.6"" HD 2-in-1 Touchscreen Laptop Intel N5030 1.1Ghz 4GB Ram 128GB SSD Windows 11 Professional (Renewed)",N/A,163,4.1 out of 5 stars
53,B07P6Y7954,https://www.amazon.com/dp/B07P6Y7954,Amazon Renewed,#24,"Apple iPhone XR, 64GB, Black - Unlocked (Renewed)",N/A,"65,043",4.4 out of 5 stars
54,B074PWW6NS,https://www.amazon.com/dp/B074PWW6NS,Amazon Renewed,#25,Apple iPad 9.7inch with WiFi 32GB- Space Gray (2017 Model) (Renewed),N/A,"11,463",4.5 out of 5 stars
55,B0CGKG9NSY,https://www.amazon.com/dp/B0CGKG9NSY,Amazon Renewed,#26,Beats Studio Pro - Wireless Bluetooth Noise Cancelling Headphones - Black (Renewed),N/A,"1,750",4.4 out of 5 stars
56,B0C544TBQM,https://www.amazon.com/dp/B0C544TBQM,Amazon Renewed,#27,"SAMSUNG Galaxy S23 Ultra 5G, US Version, 256GB, Phantom Black - Unlocked (Renewed)",N/A,"1,868",4.2 out of 5 stars
57,B09V1NGFN4,https://www.amazon.com/dp/B09V1NGFN4,Amazon Renewed,#28,SAMSUNG Galaxy S22 128 GB Green (Renewed),N/A,"2,097",4.0 out of 5 stars
58,B0D3KKP8GL,https://www.amazon.com/dp/B0D3KKP8GL,Amazon Renewed,#29,"Beats Solo 4 - Wireless Bluetooth On-Ear Headphones, Apple & Android Compatible, Up to 50 Hours of Battery Life - Matte Black (Renewed)",N/A,877,4.5 out of 5 stars
59,B08PMYLKVF,https://www.amazon.com/dp/B08PMYLKVF,Amazon Renewed,#30,"Apple iPhone 12 Pro, 128GB, Pacific Blue - Fully Unlocked (Renewed)",N/A,"12,456",4.1 out of 5 stars
60,B00992CF6W,https://www.amazon.com/dp/B00992CF6W,Apps & Games,#1,N/A,$6.99,Mojang,4.4 out of 5 stars
61,B0FRGBX5CP,https://www.amazon.com/dp/B0FRGBX5CP,Apps & Games,#2,N/A,$9.99,DZENDEV LIMITED,1.0 out of 5 stars
62,B0F1CP2HSN,https://www.amazon.com/dp/B0F1CP2HSN,Apps & Games,#3,N/A,$14.99,HyperSim Interactive,2.8 out of 5 stars
63,B00EDTSKLU,https://www.amazon.com/dp/B00EDTSKLU,Apps & Games,#4,N/A,$2.99,RobTop Games,4.3 out of 5 stars
64,B0FRGC5X67,https://www.amazon.com/dp/B0FRGC5X67,Apps & Games,#5,N/A,$7.99,DZENDEV LIMITED,4.4 out of 5 stars
65,B0FRFZS39S,https://www.amazon.com/dp/B0FRFZS39S,Apps & Games,#6,N/A,$4.99,DZENDEV LIMITED,1.0 out of 5 stars
66,B0DJZFGNGJ,https://www.amazon.com/dp/B0DJZFGNGJ,Apps & Games,#7,N/A,$9.99,Serra Ayan,2.5 out of 5 stars
67,B0FRFXS8DZ,https://www.amazon.com/dp/B0FRFXS8DZ,Apps & Games,#8,N/A,$7.99,DEVABRIKOS LIMITED,2.5 out of 5 stars
68,B0FRFTJ2YS,https://www.amazon.com/dp/B0FRFTJ2YS,Apps & Games,#9,N/A,$4.99,DEVABRIKOS LIMITED,2.5 out of 5 stars
69,B0FRFMPJ5T,https://www.amazon.com/dp/B0FRFMPJ5T,Apps & Games,#10,N/A,$8.99,DEVABRIKOS LIMITED,2.4 out of 5 stars
70,B0FRFZSBV2,https://www.amazon.com/dp/B0FRFZSBV2,Apps & Games,#11,N/A,$8.99,DZENDEV LIMITED,1.0 out of 5 stars
71,B0C828D9K1,https://www.amazon.com/dp/B0C828D9K1,Apps & Games,#12,N/A,$4.99,Prism Pioneers,3.7 out of 5 stars
72,B0FRFM1RQG,https://www.amazon.com/dp/B0FRFM1RQG,Apps & Games,#13,Frosty Fun Factory,$9.99,DEVABRIKOS LIMITED,N/A
73,B0D4MNC1ZV,https://www.amazon.com/dp/B0D4MNC1ZV,Apps & Games,#14,N/A,$11.99,RC Studios,3.5 out of 5 stars
74,B0F9BNGJM8,https://www.amazon.com/dp/B0F9BNGJM8,Apps & Games,#15,N/A,$4.99,Ringirout,3.8 out of 5 stars
75,B0F9WZCMTK,https://www.amazon.com/dp/B0F9WZCMTK,Apps & Games,#16,N/A,$11.99,Swifte games,2.6 out of 5 stars
76,B0D9GYYWZP,https://www.amazon.com/dp/B0D9GYYWZP,Apps & Games,#17,N/A,$11.99,Broken Glass Games,3.5 out of 5 stars
77,B0F6VR7KBV,https://www.amazon.com/dp/B0F6VR7KBV,Apps & Games,#18,N/A,$11.99,Open World Offline Games,2.0 out of 5 stars
78,B0CHPGNM48,https://www.amazon.com/dp/B0CHPGNM48,Apps & Games,#19,N/A,$9.99,AppSynergy Creations,3.7 out of 5 stars
79,B0DHL9XNNW,https://www.amazon.com/dp/B0DHL9XNNW,Apps & Games,#20,N/A,$13.99,EpicByte Studio,3.0 out of 5 stars
80,B0F6VPVQGJ,https://www.amazon.com/dp/B0F6VPVQGJ,Apps & Games,#21,N/A,$11.99,Open World Offline Games,5.0 out of 5 stars
81,B0CWVLT5GY,https://www.amazon.com/dp/B0CWVLT5GY,Apps & Games,#22,N/A,$14.99,The Games Forest,2.8 out of 5 stars
82,B0F9NR46YQ,https://www.amazon.com/dp/B0F9NR46YQ,Apps & Games,#23,N/A,$11.99,inovelapps,1.0 out of 5 stars
83,B0DJVXFW9N,https://www.amazon.com/dp/B0DJVXFW9N,Apps & Games,#24,N/A,$11.99,Broken Glass Games,2.4 out of 5 stars
84,B0F5QDJ88X,https://www.amazon.com/dp/B0F5QDJ88X,Apps & Games,#25,Naughty Baby Simulator: Daddy Daycare Fun Game,$12.99,The Game Weaver,N/A
85,B0FBYDJW4J,https://www.amazon.com/dp/B0FBYDJW4J,Apps & Games,#26,N/A,$13.89,Red Card Gamers,5.0 out of 5 stars
86,B0D8SRF4SJ,https://www.amazon.com/dp/B0D8SRF4SJ,Apps & Games,#27,N/A,$11.99,Broken Glass Games,2.8 out of 5 stars
87,B0F8BX8P1D,https://www.amazon.com/dp/B0F8BX8P1D,Apps & Games,#28,N/A,$12.99,Tender Studio,3.0 out of 5 stars
88,B0DXLBFYGV,https://www.amazon.com/dp/B0DXLBFYGV,Apps & Games,#29,N/A,$19.99,Offline Simulation Games,2.4 out of 5 stars
89,B0FGL9J2LP,https://www.amazon.com/dp/B0FGL9J2LP,Apps & Games,#30,N/A,$14.99,The Game Weaver,3.0 out of 5 stars
90,B0018NBVKQ,https://www.amazon.com/dp/B0018NBVKQ,"Arts, Crafts & Sewing",#1,"Apple Barrel Acrylic Paint in Assorted Colors (8 Ounce), 20403 White",$2.97,"25,259",4.8 out of 5 stars
91,B09VCYS41G,https://www.amazon.com/dp/B09VCYS41G,"Arts, Crafts & Sewing",#2,"Betem 24 Colors Dual Tip Acrylic Paint Pens Markers, Premium Acrylic Paint Pens for Halloween Decorations, Wood, Canvas, Stone, Rock Painting, Glass, Ceramic Surfaces, Pumpkin Painting Kit DIY Crafts",N/A,"15,114",4.6 out of 5 stars
92,B0C3QP952N,https://www.amazon.com/dp/B0C3QP952N,"Arts, Crafts & Sewing",#3,"BADCOLOR Black Cream-Blendable Face Body Paint Stick for Adults Children Eye Black Softball Football Baseball Sports , Non-Toxic Hypoallergenic for Halloween SFX Makeup Cosplay Joker Costume Parties",$5.99,"1,841",4.3 out of 5 stars
93,B0CP48JPCH,https://www.amazon.com/dp/B0CP48JPCH,"Arts, Crafts & Sewing",#4,"ARTISTRO Acrylic Paint Markers for Rock, Fabric, Wood, Glass, Craft - 24 Quick Dry Dual-Tip Paint Pens for Halloween Decorations - Pumpkin Painting Kit, Drawing Markers, Art Supplies, Christmas Gift",$9.97,"5,290",4.6 out of 5 stars
94,B08CGMYQGN,https://www.amazon.com/dp/B08CGMYQGN,"Arts, Crafts & Sewing",#5,"UCANBE Athena Face Body Paint Oil Palette, Professional Flash Non Toxic Safe Tattoo Halloween FX Party Artist Fancy Makeup Painting Kit For Kids and Adult",$20.99,"12,491",4.4 out of 5 stars
95,B0CMD7TNS8,https://www.amazon.com/dp/B0CMD7TNS8,"Arts, Crafts & Sewing",#6,"FITTDYHE Fabric Glue Permanent, 60 ML Washable Clear Clothing Glue, Super Fabric Adhesive for Rhinestones, Patches, Clothes, Denim, Leather, Polyester, Fabrics, Doll Repair, Flannel, Cotton",$9.69,"3,535",4.5 out of 5 stars
96,B09W1HR5VD,https://www.amazon.com/dp/B09W1HR5VD,"Arts, Crafts & Sewing",#7,Red Heart Super Saver Black Yarn - 3 Pack of 198g/7oz - Acrylic - 4 Medium (Worsted) - 364 Yards - Knitting/Crochet,$11.31,"25,935",4.7 out of 5 stars
97,B076XR6CFZ,https://www.amazon.com/dp/B076XR6CFZ,"Arts, Crafts & Sewing",#8,"beadsland Flat Back Crystal Rhinestones Round Gems for Nail Art and Craft Glue Fix, CrystalAB (4.6-4.8mm) SS20/1440pcs",N/A,"11,112",4.7 out of 5 stars
98,B07YDDX4JL,https://www.amazon.com/dp/B07YDDX4JL,"Arts, Crafts & Sewing",#9,"3-Pack 8"" Heavy Duty Scissors with Ultra Sharp Blades and Comfort Grip Handles - For Office, Home, School, Sewing, and Crafts",$8.49,"83,492",4.8 out of 5 stars
99,B0BXKB7QF6,https://www.amazon.com/dp/B0BXKB7QF6,"Arts, Crafts & Sewing",#10,"Coquimbo Sewing Kit Christmas Stocking Stuffers White Elephant Gifts for Adults Teen Girls Mom Grandma Beginner Traveler, Portable Sewing Supplies Accessories with Thread, Needles, Scissors (Black, M)",$5.98,"58,732",4.5 out of 5 stars
100,B089T7PX27,https://www.amazon.com/dp/B089T7PX27,"Arts, Crafts & Sewing",#11,"Crayola Air Dry Clay (5lbs), Teacher Supplies, Natural White Modeling Clay for Kids, Sculpting Material, Bulk Craft Supplies for Art Classrooms",$11.24,"17,143",4.6 out of 5 stars
101,B07D4YF3K4,https://www.amazon.com/dp/B07D4YF3K4,"Arts, Crafts & Sewing",#12,"Neenah Index Cardstock, 8.5"" x 11"", 90 lb/163 gsm, White, Lightweight, 94 Brightness, 300 Sheets (91437)",$13.49,"14,903",4.6 out of 5 stars
102,B0DD3R847F,https://www.amazon.com/dp/B0DD3R847F,"Arts, Crafts & Sewing",#13,"Acrylic Paint Set, 24 Colors (2 oz/Bottle) with 12 Art Brushes, Art Supplies for Painting Canvas, Wood, Ceramic & Fabric, Rich Pigments Lasting Quality for Beginners, Students & Professional Artist",$15.31,"4,001",4.3 out of 5 stars
103,B0CHTZD63Q,https://www.amazon.com/dp/B0CHTZD63Q,"Arts, Crafts & Sewing",#14,"Scrapbook Tape, 4 Pack Double Sided Tape Roller for Crafts, Adhesive Glue Runner Scrapbooking Supplies Journaling School Office Teacher Supplies for Kids and Adults, 0.3IN x 26FT",$6.92,"5,105",4.4 out of 5 stars
104,B09PR9R9SL,https://www.amazon.com/dp/B09PR9R9SL,"Arts, Crafts & Sewing",#15,"KUKKA Rosemary Essential Oils - 4 Fl Oz - for Hair, Skin, Diffuser, Aromatherapy & DIY Soap Making Scent",N/A,"18,070",4.4 out of 5 stars
105,B00178QQJ8,https://www.amazon.com/dp/B00178QQJ8,"Arts, Crafts & Sewing",#16,"Mod Podge Gloss Sealer, Glue & Finish: All-in-One Craft Solution- Quick Dry, Easy Clean, for Wood, Paper, Fabric & More. Non-Toxic - Craft with Confidence, Made in USA, 16 oz., Pack of 1",$7.99,"56,330",4.8 out of 5 stars
106,B0BHYGM2XG,https://www.amazon.com/dp/B0BHYGM2XG,"Arts, Crafts & Sewing",#17,"KALOUR 72 Count Colored Pencils for Adult Coloring Books, Soft Core,Ideal for Drawing Blending Shading,Color Pencils Set Gift for Adults Kids Beginners",$9.49,"8,391",4.7 out of 5 stars
107,B0BQTYYVZH,https://www.amazon.com/dp/B0BQTYYVZH,"Arts, Crafts & Sewing",#18,"Vanhench Brown Wrapping Paper, Craft Kraft Paper 17.5""x 1200""(100') for Gift Wrapping Bulletin Board Arts & Crafts, Bouquet Flower Table Covering Poster Packing Shipping Christmas Supplies 70GSM 50LB",N/A,"4,737",4.7 out of 5 stars
108,B08GKQ6BY2,https://www.amazon.com/dp/B08GKQ6BY2,"Arts, Crafts & Sewing",#19,Klangfeiler® Hemming Tape - 0.75 INCH x 32 Yards - Extra Strong - Iron-On Hem Tape Adhesive,$9.99,"11,418",4.3 out of 5 stars
109,B003ULCZ7M,https://www.amazon.com/dp/B003ULCZ7M,"Arts, Crafts & Sewing",#20,"Elmer's Disappearing Purple School Glue Sticks, Washable, 6 Grams, 12 Count - Back to School, Teacher Supplies, #1 Teacher Brand",N/A,"30,892",4.8 out of 5 stars
110,B089ZVY1L1,https://www.amazon.com/dp/B089ZVY1L1,"Arts, Crafts & Sewing",#21,"HTVRONT HTV Roll Heat Transfer Vinyl - 12"" x 8ft White HTV Vinyl for Shirts, Iron on Vinyl for All Cutting Machine - Easy to Cut & Weed for Heat Transfer Design (White)",$8.99,"39,327",4.5 out of 5 stars
111,B0BC878ZRG,https://www.amazon.com/dp/B0BC878ZRG,"Arts, Crafts & Sewing",#22,"Krightlink Hot Glue Gun Kit with 30 Glue Sticks, Fast Preheating Hot Melt, High Temp for School Crafts DIY Arts and Quick Home Repairs (20w)",$8.49,"2,805",4.6 out of 5 stars
112,B0B19J9FZM,https://www.amazon.com/dp/B0B19J9FZM,"Arts, Crafts & Sewing",#23,"Soucolor Sketch Book, Spiral Bound Acid-Free Sketchbook with 68lb/100gsm for Paper Painting, Drawing, Writing, Artist Sketching Pad for Kids, Adults & Teens, 100 Sheets (Black, 9 x 12 Inch, Pack of 1)",$8.99,"6,649",4.8 out of 5 stars
113,B0CH4TP92N,https://www.amazon.com/dp/B0CH4TP92N,"Arts, Crafts & Sewing",#24,"XKDOUS Safety Pins - 150 Pcs Assorted Sizes Silver Pins Bulk - Small & Large Heavy Duty for Clothes, Sewing, Craft",$3.99,"2,211",4.5 out of 5 stars
114,B000VXO4L2,https://www.amazon.com/dp/B000VXO4L2,"Arts, Crafts & Sewing",#25,"Elmer’s Disappearing Purple School Glue Sticks, Washable, 7g, 30 Count - Bulk Pack for Classrooms, 1 Teacher Brand",$9.49,"42,606",4.9 out of 5 stars
115,B07FCNW3JK,https://www.amazon.com/dp/B07FCNW3JK,"Arts, Crafts & Sewing",#26,"Gya Labs Australian Tea Tree Essential Oil - 0.34 Fl Oz - for Hair, Skin, Diffuser, Aromatherapy & DIY Candle Making Scent",$6.99,"100,123",4.4 out of 5 stars
116,B0757JLTY7,https://www.amazon.com/dp/B0757JLTY7,"Arts, Crafts & Sewing",#27,"Ring Sizer Adjuster for Loose Rings - 12 Pack, Guards, Spacers & Tighteners, Fits Bands Up to 6mm, Reduces Size by 0.5-1.5, Invisible Design for Women & Men by 5 STARS UNITED",N/A,"76,846",4.3 out of 5 stars
117,B0D6R7FSBF,https://www.amazon.com/dp/B0D6R7FSBF,"Arts, Crafts & Sewing",#28,"Huhuhero 150Pcs Safety Pins, Large & Small Safety Pins for Clothes Sewing Craft, Nickel Plated Steel Assorted Size Pins Bulk, Art and Craft Supplies (Sliver)",$3.69,"9,072",4.5 out of 5 stars
118,B07S7FXBNT,https://www.amazon.com/dp/B07S7FXBNT,"Arts, Crafts & Sewing",#29,"Apple Barrel Acrylic Paint, Blue Kazoo",$0.58,"43,448",4.7 out of 5 stars
